metric_join	timestamp	ts_join	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
iostat.sda.write_byte_per_second	1511276716	50375890	1590986.730	NULL	NULL	3959617.317	NULL	1588156.528	NULL	1816475.222	NULL	NULL
iostat.sda.write_byte_per_second	1511276746	50375891	3234630.911	NULL	NULL	1857933.781	NULL	1876923.226	NULL	1400533.842	NULL	NULL
iostat.sda.write_byte_per_second	1511276776	50375892	885265.504	NULL	NULL	2983800.178	NULL	2972002.506	NULL	3003718.793	NULL	NULL
iostat.sda.write_byte_per_second	1511276806	50375893	1980715.818	NULL	NULL	1829406.964	NULL	1777940.701	NULL	1076802.724	NULL	NULL
iostat.sda.write_byte_per_second	1511276836	50375894	4268645.371	NULL	NULL	1979549.756	NULL	3121913.341	NULL	3215855.390	NULL	NULL
iostat.sda.write_byte_per_second	1511276866	50375895	1223565.767	NULL	NULL	3646099.880	NULL	2186378.042	NULL	2484785.259	NULL	NULL
iostat.sda.write_byte_per_second	1511276896	50375896	3053586.787	NULL	NULL	1657842.869	NULL	1512559.770	NULL	3182689.473	NULL	NULL
iostat.sda.write_byte_per_second	1511276926	50375897	1485744.777	NULL	NULL	3226144.621	NULL	2593258.818	NULL	1305545.616	NULL	NULL
iostat.sda.write_byte_per_second	1511276956	50375898	2679466.665	NULL	NULL	1626569.713	NULL	1782268.079	NULL	1807442.503	NULL	NULL
iostat.sda.write_byte_per_second	1511276986	50375899	2505944.467	NULL	NULL	1363483.502	NULL	2986198.118	NULL	3253772.180	NULL	NULL
